ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,foul,ft,ft_pct,fta,nome,orb,points,stl,tov,trb
,,,,,,,,,,,,,,,,,,
8,1,12,13,2,.286,7,.565,23,1,8,.615,13,LeBron James,1,36,1,5,13
4,1,10,13,2,.333,6,.520,25,4,4,1.000,4,Nikola Jokic,6,32,3,5,16
0,1,3,10,5,.625,8,.625,16,1,5,.833,6,Harrison Barnes,1,30,1,0,4
3,0,7,11,2,.500,4,.647,17,3,5,.714,7,Bradley Beal,3,29,2,4,10
12,0,6,5,3,.333,9,.333,15,1,10,.833,12,Luka Doncic,0,23,1,1,6
15,1,6,10,1,.250,4,.556,18,2,1,.500,2,Jamal Murray,1,22,1,5,7
3,0,1,7,0,,0,.778,9,2,3,1.000,3,Domantas Sabonis,7,17,2,1,8
6,1,11,7,1,.333,3,.500,14,3,0,,0,Larry Nance,5,15,3,2,16
4,0,7,6,4,.364,11,.353,17,2,3,1.000,3,Trevor Ariza,1,19,6,1,8
13,1,4,9,4,.444,9,.429,21,1,0,,0,D'Angelo Russell,0,22,0,4,4
5,0,4,7,2,.667,3,.700,10,2,0,,0,Monte Morris,0,16,2,1,4
3,0,7,7,1,.500,2,.500,14,4,5,.833,6,John Collins,6,20,0,3,13
3,0,4,9,5,.556,9,.563,16,6,0,.000,2,Lonzo Ball,2,23,2,3,6
2,0,3,7,3,.750,4,.538,13,3,2,1.000,2,Joe Harris,1,19,1,0,4
3,0,11,9,2,.250,8,.429,21,0,2,1.000,2,Kyle Kuzma,0,22,1,3,11
2,0,4,5,1,.200,5,.417,12,4,6,.750,8,Rodney Hood,2,17,2,0,6
1,2,3,3,0,,0,.750,4,3,9,.900,10,Alex Len,2,15,0,2,5
3,2,5,6,0,,0,.462,13,0,1,.250,4,Thaddeus Young,4,13,2,1,9
2,0,3,6,1,.333,3,.750,8,1,0,,0,Jared Dudley,2,13,1,1,5
3,0,8,5,0,.000,2,.417,12,3,7,.778,9,Rondae Hollis-Jefferson,0,17,1,1,8
,,,,,,,,,,,,,,,,,,
6,0,1,6,2,.400,5,.545,11,0,4,.571,7,Spencer Dinwiddie,0,18,0,3,1
0,0,3,5,3,.750,4,.714,7,2,3,.750,4,Trey Lyles,0,16,0,0,3
2,1,8,5,1,1.000,1,.833,6,1,2,.667,3,Dewayne Dedmon,2,13,0,4,10
4,0,3,5,3,.500,6,.455,11,2,6,.750,8,Trae Young,0,19,1,5,3
2,4,10,6,0,.000,2,.500,12,2,0,.000,1,Myles Turner,0,12,0,1,10
4,2,3,4,2,.333,6,.400,10,4,3,.750,4,Kent Bazemore,1,13,0,1,4
4,0,1,4,4,.800,5,.333,12,2,2,1.000,2,Wesley Matthews,1,14,2,2,2
0,1,3,3,1,.250,4,.375,8,2,5,.833,6,Juan Hernangomez,3,12,0,0,6
4,0,3,6,0,.000,3,.500,12,4,4,1.000,4,Jeremy Lin,0,16,0,2,3
4,0,0,5,2,.500,4,.625,8,5,0,,0,Malik Beasley,1,12,1,1,1
1,0,10,4,0,,0,.667,6,6,3,.500,6,DeAndre Jordan,2,11,2,2,12
3,0,8,5,0,,0,.625,8,4,1,.500,2,Mason Plumlee,1,11,0,1,9
3,2,2,2,0,,0,1.000,2,2,1,.500,2,Tyson Chandler,2,5,0,0,4
1,0,1,5,0,.000,4,.357,14,0,4,1.000,4,Bojan Bogdanovic,2,14,0,0,3
1,1,6,3,0,.000,3,.500,6,2,1,.500,2,Jaron Blossomgame,2,7,1,0,8
1,2,5,5,1,.333,3,.313,16,0,3,1.000,3,Alec Burks,0,14,0,0,5
2,0,1,4,1,1.000,1,1.000,4,5,2,.500,4,Tomas Satoransky,1,11,1,2,2
5,0,3,4,0,.000,3,.364,11,0,2,1.000,2,J.J. Barea,1,10,0,1,4
3,0,1,1,1,.333,3,.333,3,2,4,1.000,4,Chasson Randle,0,7,2,1,1
2,0,7,4,2,.250,8,.364,11,2,2,1.000,2,Jeff Green,0,12,1,2,7
,,,,,,,,,,,,,,,,,,
1,0,6,6,1,.167,6,.429,14,1,0,,0,Cedi Osman,1,13,0,1,7
0,0,3,5,3,.429,7,.417,12,1,0,,0,DeMarre Carroll,0,13,0,0,3
4,0,1,4,2,.500,4,.667,6,1,0,,0,Matthew Dellavedova,0,10,0,3,1
2,0,4,4,3,.375,8,.333,12,2,2,1.000,2,Kevin Huerter,0,13,1,2,4
0,0,0,4,2,.500,4,.444,9,1,2,.667,3,Doug McDermott,0,12,1,1,0
0,0,0,4,1,.250,4,.571,7,2,0,,0,Devin Harris,0,9,1,0,0
4,1,6,2,1,.500,2,.333,6,3,0,,0,Darren Collison,0,5,1,1,6
4,0,0,1,0,.000,2,.200,5,6,5,.625,8,Markieff Morris,2,7,1,0,2
5,2,5,4,1,.167,6,.267,15,2,3,.500,6,Victor Oladipo,0,12,1,3,5
1,2,8,3,0,.000,1,.429,7,3,0,.000,1,Jarrett Allen,0,6,2,2,8
1,0,0,4,0,.000,1,.571,7,1,0,,0,Jalen Brunson,0,8,0,0,0
0,0,5,2,0,,0,1.000,2,2,0,,0,Ed Davis,1,4,0,0,6
1,0,2,3,1,.500,2,.600,5,2,1,.500,2,Dwight Powell,0,8,0,1,2
2,0,4,3,0,.000,4,.429,7,3,0,,0,Kentavious Caldwell-Pope,1,6,1,1,5
6,0,0,6,3,.273,11,.333,18,5,0,,0,John Wall,0,15,0,3,0
0,0,0,6,0,.000,1,.462,13,1,0,,0,Collin Sexton,1,12,0,2,1
1,1,2,1,0,,0,.500,2,2,2,.500,4,Thomas Bryant,0,4,0,0,2
1,0,3,2,1,.200,5,.200,10,0,1,.500,2,Josh Hart,2,6,1,0,5
0,0,3,3,2,.500,4,.429,7,2,0,,0,Lance Stephenson,0,8,0,1,3
0,0,4,2,2,.500,4,.400,5,4,0,,0,Vince Carter,2,6,2,3,6
,,,,,,,,,,,,,,,,,,
1,0,1,1,1,1.000,1,.500,2,0,0,,0,Dirk Nowitzki,0,3,0,0,1
2,1,3,1,0,,0,.333,3,0,0,,0,Ante Zizic,1,2,0,1,4
0,0,0,2,0,,0,.500,4,0,0,,0,Sam Dekker,1,4,1,1,1
0,0,1,1,1,.500,2,.500,2,2,1,.500,2,Moritz Wagner,0,4,0,0,1
2,1,9,1,0,.000,3,.167,6,0,0,,0,Cory Joseph,0,2,0,1,9
0,0,0,0,0,,0,,0,0,0,,0,Ryan Broekhoff,0,0,0,0,0
0,0,0,0,0,,0,,0,0,0,,0,Brandon Goodwin,0,0,0,0,0
1,0,0,0,0,.000,1,.000,1,0,0,,0,Daniel Hamilton,0,0,0,0,0
1,1,0,0,0,,0,.000,1,2,0,,0,Ivica Zubac,0,0,0,0,0
1,0,1,1,0,.000,4,.200,5,2,0,,0,Dorian Finney-Smith,1,2,1,1,2
2,0,1,1,0,.000,1,.250,4,3,1,.500,2,DeAndre' Bembry,0,3,0,1,1
1,0,1,2,0,.000,1,.222,9,2,0,,0,Tyreke Evans,1,4,0,0,2
2,0,3,0,0,.000,4,.000,5,1,0,,0,David Nwaba,0,0,1,0,3
1,0,1,2,1,.333,3,.400,5,5,0,,0,Torrey Craig,0,5,0,2,1
0,1,1,1,1,.333,3,.200,5,4,0,,0,Rodions Kurucs,0,3,0,0,1
0,0,0,0,0,,0,,0,2,0,,0,Justin Anderson,0,0,0,0,0
1,0,0,0,0,.000,1,.000,1,2,0,,0,Nick Young,0,0,0,0,0
0,0,0,1,0,.000,2,.333,3,3,0,,0,Channing Frye,0,2,0,0,0
1,0,3,0,0,,0,.000,2,5,2,.500,4,Ian Mahinmi,1,2,0,1,4
0,0,0,0,0,.000,1,.000,1,1,0,,0,Svi Mykhailiuk,0,0,0,1,0
